Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_since_local_midnight_set_1,precip_accum_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d
D9413,2021-05-31T12:16:00Z,101354.56,10.56,49,0,,0,0,0,0.19,,,80023.58,100660.26,
D9413,2021-05-31T12:31:00Z,101354.56,10.56,50,0,,0,0,0,0.48,,,80023.58,100660.24,
D9413,2021-05-31T13:01:00Z,101354.56,10,57,0,,0,0,0,1.79,,,80023.58,100704.84,
D9413,2021-05-31T13:16:00Z,101388.43,9.44,58,0,,0,0,0,1.51,,,80050.32,100783.4,
D9413,2021-05-31T13:31:00Z,101422.29,9.44,59,0,,0,0,0,1.75,,,80077.05,100817.04,
D9413,2021-05-31T14:02:00Z,101422.29,10,61,0,,0,0,0,2.75,,,80077.05,100772.06,
D9413,2021-05-31T14:16:00Z,101456.16,10,62,0,,0,0,0,2.98,,,80103.79,100805.7,
D9413,2021-05-31T14:31:00Z,101456.16,10.56,64,0,,0,0,0,3.97,,,80103.79,100760.89,
D9413,2021-05-31T14:45:00Z,101422.29,10.56,63,0,,0,0,0,3.74,,,80077.05,100727.27,
D9413,2021-05-31T15:02:00Z,101422.29,11.11,63,0,,0,0,0,4.26,,,80077.05,100683.5,
D9413,2021-05-31T15:16:00Z,101422.29,11.67,60,0,,0,0,0,4.09,,,80077.05,100639.18,
D9413,2021-05-31T15:31:00Z,101422.29,12.22,57,0,,0.9,0,0,3.87,,,80077.05,100595.84,
D9413,2021-05-31T15:45:00Z,101388.43,13.33,52,0.45,140,1.79,0,0,3.6,,SE,80050.32,100475.36,
D9413,2021-05-31T16:00:00Z,101422.29,13.33,53,0.45,141,1.79,0,0,3.87,,SE,80077.05,100508.89,
D9413,2021-05-31T16:15:00Z,101422.29,13.89,52,0.9,133,1.79,0,0,4.12,,SE,80077.05,100465.28,
D9413,2021-05-31T16:30:00Z,101388.43,14.44,52,0.45,137,1.79,0,0,4.63,,SE,80050.32,100389.09,
D9413,2021-05-31T16:45:00Z,101388.43,14.44,55,0.9,138,1.79,0,0,5.44,,SE,80050.32,100389.02,
D9413,2021-05-31T17:00:00Z,101388.43,15,56,0.45,138,1.79,0,0,6.23,,SE,80050.32,100345.74,
D9413,2021-05-31T17:15:00Z,101388.43,15.56,58,0.45,138,1.79,0,0,7.27,,SE,80050.32,100302.62,
D9413,2021-05-31T17:30:00Z,101388.43,16.11,54,0.9,138,1.79,0,0,6.73,,SE,80050.32,100260.59,
D9413,2021-05-31T17:46:00Z,101388.43,16.67,53,0.45,138,1.34,0,0,6.98,,SE,80050.32,100217.89,
D9413,2021-05-31T18:00:00Z,101388.43,17.78,34,0,,1.34,0,0,1.63,,,80050.32,100134.27,
D9413,2021-05-31T18:16:00Z,101422.29,18.89,30,0,,1.34,0,0,0.87,,,80077.05,100084.38,
D9413,2021-05-31T18:30:00Z,101422.29,20,26,0.45,138,1.34,0,0,-0.15,,SE,80077.05,100001.74,
D9413,2021-05-31T18:45:00Z,101422.29,20,24,0,,0.9,0,0,-1.24,,,80077.05,100001.81,
D9413,2021-05-31T19:00:00Z,101422.29,21.11,27,0,,1.34,0,0,1.33,,,80077.05,99919.64,
D9413,2021-05-31T19:15:00Z,101422.29,21.11,21,0.45,140,1.79,0,0,-2.11,,SE,80077.05,99919.84,
D9413,2021-05-31T19:30:00Z,101422.29,21.67,22,0.45,138,1.79,0,0,-1.01,,SE,80077.05,99878.65,
D9413,2021-05-31T19:45:00Z,101422.29,22.22,20,0,,1.79,0,0,-1.83,,,80077.05,99838.48,
D9413,2021-05-31T20:02:00Z,101388.43,22.78,19,0.45,128,1.79,0,0,-2.06,,SE,80050.32,99764.39,
D9413,2021-05-31T20:16:00Z,101388.43,22.78,18,0.45,126,1.79,0,0,-2.78,,SE,80050.32,99764.42,
D9413,2021-05-31T20:31:00Z,101354.56,22.78,19,0.45,126,1.79,0,0,-2.06,,SE,80023.58,99731.06,
D9413,2021-05-31T20:47:00Z,101354.56,23.33,18,0,,2.23,0,0,-2.33,,,80023.58,99691.2,
D9413,2021-05-31T21:01:00Z,101354.56,23.89,18,0.9,132,2.23,0,0,-1.87,,SE,80023.58,99650.75,
D9413,2021-05-31T21:17:00Z,101320.7,23.89,17,0,,1.79,0,0,-2.63,,,79996.84,99617.49,
D9413,2021-05-31T21:30:00Z,101320.7,23.89,18,0,,1.79,0,0,-1.87,,,79996.84,99617.45,
D9413,2021-05-31T21:45:00Z,101320.7,23.89,18,0.9,126,1.34,0,0,-1.87,,SE,79996.84,99617.45,
D9413,2021-05-31T22:01:00Z,101286.84,23.89,18,0,,1.34,0,0,-1.87,,,79970.11,99584.17,
D9413,2021-05-31T22:16:00Z,101286.84,23.89,16,0.45,112,1.34,0,0,-3.44,,ESE,79970.11,99584.24,
D9413,2021-05-31T22:30:00Z,101286.84,23.89,17,0,,1.34,0,0,-2.63,,,79970.11,99584.21,
D9413,2021-05-31T22:45:00Z,101286.84,23.89,18,0,,1.34,0,0,-1.87,,,79970.11,99584.17,
D9413,2021-05-31T23:01:00Z,101286.84,23.89,18,0,,0.9,0,0,-1.87,,,79970.11,99584.17,
D9413,2021-05-31T23:15:00Z,101252.97,23.33,19,0,,0.45,0,0,-1.6,,,79943.37,99591.24,
D9413,2021-05-31T23:31:00Z,101286.84,22.78,19,0,,0,0,0,-2.06,,,79970.11,99664.42,
D9413,2021-05-31T23:46:00Z,101286.84,22.22,20,0,,0,0,0,-1.83,,,79970.11,99705.14,
D9413,2021-06-01T00:01:00Z,101252.97,22.22,24,0,,0,0,0,0.65,,,79943.37,99671.66,
D9413,2021-06-01T00:16:00Z,101252.97,21.67,25,0,,0.45,0,0,0.75,,,79943.37,99711.81,
D9413,2021-06-01T00:32:00Z,101219.11,20.56,29,0,,0.9,0,0,1.85,,,79916.63,99759.9,
D9413,2021-06-01T00:45:00Z,101219.11,20,30,0.45,123,0.9,0,0,1.84,,ESE,79916.63,99801.28,
D9413,2021-06-01T01:01:00Z,101219.11,19.44,30,0.45,123,0.9,0,0,1.35,,ESE,79916.63,99842.87,
D9413,2021-06-01T01:16:00Z,101219.11,19.44,31,0.45,123,0.9,0,0,1.8,,ESE,79916.63,99842.84,
D9413,2021-06-01T01:30:00Z,101219.11,18.89,31,0.45,123,0.9,0,0,1.32,,ESE,79916.63,99883.84,
D9413,2021-06-01T01:46:00Z,101185.24,18.89,32,0.45,123,0.9,0,0,1.76,,ESE,79889.89,99850.39,
D9413,2021-06-01T02:01:00Z,101219.11,18.89,33,0,,0.9,0,0,2.2,,,79916.63,99883.79,
D9413,2021-06-01T02:16:00Z,101219.11,18.33,33,0,,0.45,0,0,1.7,,,79916.63,99925.72,
D9413,2021-06-01T02:31:00Z,101219.11,18.33,34,0,,0.45,0,0,2.12,,,79916.63,99925.69,
D9413,2021-06-01T02:46:00Z,101219.11,18.33,34,0,,0.45,0,0,2.12,,,79916.63,99925.69,
D9413,2021-06-01T03:01:00Z,101219.11,18.33,36,0,,0,0,0,2.92,,,79916.63,99925.63,
D9413,2021-06-01T03:16:00Z,101252.97,18.33,38,0,,0.9,0,0,3.69,,,79943.37,99959.01,
D9413,2021-06-01T03:33:00Z,101252.97,18.33,40,0,,0.45,0,0,4.42,,,79943.37,99958.95,
D9413,2021-06-01T03:45:00Z,101252.97,18.33,40,0,,0,0,0,4.42,,,79943.37,99958.95,
D9413,2021-06-01T04:01:00Z,101252.97,18.33,39,0.45,213,0.9,0,0,4.06,,SSW,79943.37,99958.98,
D9413,2021-06-01T04:16:00Z,101252.97,17.78,40,0,,0,0,0,3.93,,,79943.37,100000.32,
D9413,2021-06-01T04:31:00Z,101286.84,17.22,40,0,,0.45,0,0,3.42,,,79970.11,100076.08,
D9413,2021-06-01T04:46:00Z,101286.84,16.67,40,0,,0,0,0,2.93,,,79970.11,100117.81,
D9413,2021-06-01T05:00:00Z,101286.84,16.67,39,0,,0.45,0,0,2.57,,,79970.11,100117.84,
D9413,2021-06-01T05:16:00Z,101320.7,16.67,40,0,,0,0,0,2.93,,,79996.84,100151.27,
D9413,2021-06-01T05:30:00Z,101320.7,16.11,40,0,,0,0,0,2.42,,,79996.84,100193.95,
D9413,2021-06-01T05:46:00Z,101320.7,16.11,39,0,,0,0,0,2.06,,,79996.84,100193.98,
D9413,2021-06-01T06:01:00Z,101320.7,16.11,39,0,,0,0,0,2.06,,,79996.84,100193.98,
D9413,2021-06-01T06:16:00Z,101320.7,15.56,39,0,,0,0,0,1.57,,,79996.84,100236.06,
D9413,2021-06-01T06:31:00Z,101354.56,15.56,41,0,,0,0,0,2.27,,,80023.58,100269.52,
D9413,2021-06-01T06:46:00Z,101320.7,15.56,40,0,,0.45,0,0,1.92,,,79996.84,100236.04,
D9413,2021-06-01T07:01:00Z,101354.56,15,40,0,,0,0,0,1.42,,,80023.58,100312.59,
D9413,2021-06-01T07:16:00Z,101320.7,15.56,39,0,,0,0,0,1.57,,,79996.84,100236.06,
D9413,2021-06-01T07:33:00Z,101354.56,15,40,0,,0,0,0,1.42,,,80023.58,100312.59,
D9413,2021-06-01T07:46:00Z,101354.56,15,39,0,,0,0,0,1.06,,,80023.58,100312.62,
D9413,2021-06-01T08:01:00Z,101320.7,15,40,0,,0,0,0,1.42,,,79996.84,100279.07,
D9413,2021-06-01T08:17:00Z,101320.7,15,43,0,,0,0,0,2.43,,,79996.84,100279,
