            Unix Timestamp,               UTC_Date_&_Time,         Pacific.Standard.Time,       Battery,   Temperature,  Dissolved.Oxygen,  Dissolved Oxygen Saturation,             Q
                1643913240,           2022-02-03 18:34:00,           2022-02-03 10:34:00,      3.530000,      1.758000,         10.321000,                    74.137750,      0.952000
                1643913540,           2022-02-03 18:39:00,           2022-02-03 10:39:00,      3.530000,      1.144000,         10.520000,                    74.297363,      0.952000
                1643913840,           2022-02-03 18:44:00,           2022-02-03 10:44:00,      3.530000,      1.047000,         10.553000,                    74.329817,      0.952000
                1643914140,           2022-02-03 18:49:00,           2022-02-03 10:49:00,      3.530000,      1.014000,         10.575000,                    74.416423,      0.953000
                1643914440,           2022-02-03 18:54:00,           2022-02-03 10:54:00,      3.530000,      1.025000,         10.572000,                    74.418087,      0.953000
                1643914740,           2022-02-03 18:59:00,           2022-02-03 10:59:00,      3.530000,      1.003000,         10.588000,                    74.485097,      0.953000
                1643915040,           2022-02-03 19:04:00,           2022-02-03 11:04:00,      3.530000,      1.068000,         10.565000,                    74.457804,      0.953000
                1643915340,           2022-02-03 19:09:00,           2022-02-03 11:09:00,      3.530000,      1.112000,         10.537000,                    74.351326,      0.953000
                1643915640,           2022-02-03 19:14:00,           2022-02-03 11:14:00,      3.530000,      1.144000,         10.534000,                    74.396238,      0.952000
                1643915940,           2022-02-03 19:19:00,           2022-02-03 11:19:00,      3.530000,      1.199000,         10.534000,                    74.509857,      0.951000
                1643916240,           2022-02-03 19:24:00,           2022-02-03 11:24:00,      3.530000,      1.253000,         10.518000,                    74.508122,      0.951000
                1643916540,           2022-02-03 19:29:00,           2022-02-03 11:29:00,      3.530000,      1.328000,         10.501000,                    74.542310,      0.951000
                1643916840,           2022-02-03 19:34:00,           2022-02-03 11:34:00,      3.530000,      1.404000,         10.483000,                    74.571045,      0.951000
                1643917140,           2022-02-03 19:39:00,           2022-02-03 11:39:00,      3.530000,      1.458000,         10.466000,                    74.561203,      0.951000
                1643917440,           2022-02-03 19:44:00,           2022-02-03 11:44:00,      3.530000,      1.533000,         10.445000,                    74.565662,      0.951000
                1643917740,           2022-02-03 19:49:00,           2022-02-03 11:49:00,      3.530000,      1.608000,         10.420000,                    74.540989,      0.951000
                1643918040,           2022-02-03 19:54:00,           2022-02-03 11:54:00,      3.530000,      1.662000,         10.409000,                    74.572978,      0.951000
                1643918340,           2022-02-03 19:59:00,           2022-02-03 11:59:00,      3.530000,      1.726000,         10.392000,                    74.582215,      0.951000
                1643918640,           2022-02-03 20:04:00,           2022-02-03 12:04:00,      3.530000,      1.769000,         10.387000,                    74.634364,      0.951000
                1643918940,           2022-02-03 20:09:00,           2022-02-03 12:09:00,      3.530000,      1.833000,         10.369000,                    74.635888,      0.951000
                1643919240,           2022-02-03 20:14:00,           2022-02-03 12:14:00,      3.530000,      1.865000,         10.359000,                    74.629302,      0.951000
                1643919540,           2022-02-03 20:19:00,           2022-02-03 12:19:00,      3.530000,      1.929000,         10.343000,                    74.644673,      0.951000
                1643919840,           2022-02-03 20:24:00,           2022-02-03 12:24:00,      3.530000,      1.982000,         10.327000,                    74.637275,      0.951000
                1643920140,           2022-02-03 20:29:00,           2022-02-03 12:29:00,      3.530000,      2.035000,         10.317000,                    74.673018,      0.951000
                1643920440,           2022-02-03 20:34:00,           2022-02-03 12:34:00,      3.530000,      2.078000,         10.301000,                    74.644749,      0.951000
                1643920740,           2022-02-03 20:39:00,           2022-02-03 12:39:00,      3.530000,      2.131000,         10.287000,                    74.651091,      0.951000
                1643921040,           2022-02-03 20:44:00,           2022-02-03 12:44:00,      3.520000,      2.173000,         10.271000,                    74.620302,      0.951000
                1643921340,           2022-02-03 20:49:00,           2022-02-03 12:49:00,      3.530000,      2.205000,         10.269000,                    74.670786,      0.952000
                1643921640,           2022-02-03 20:54:00,           2022-02-03 12:54:00,      3.520000,      2.268000,         10.245000,                    74.624019,      0.951000
                1643921940,           2022-02-03 20:59:00,           2022-02-03 12:59:00,      3.520000,      2.353000,         10.215000,                    74.577462,      0.951000
                1643922240,           2022-02-03 21:04:00,           2022-02-03 13:04:00,      3.520000,      2.374000,         10.221000,                    74.663795,      0.952000
                1643922540,           2022-02-03 21:09:00,           2022-02-03 13:09:00,      3.520000,      2.448000,         10.184000,                    74.542890,      0.951000
                1643922840,           2022-02-03 21:14:00,           2022-02-03 13:14:00,      3.520000,      2.490000,         10.185000,                    74.635042,      0.951000
                1643923140,           2022-02-03 21:19:00,           2022-02-03 13:19:00,      3.520000,      2.553000,         10.172000,                    74.666920,      0.952000
                1643923440,           2022-02-03 21:24:00,           2022-02-03 13:24:00,      3.530000,      2.658000,         10.137000,                    74.621323,      0.952000
                1643923740,           2022-02-03 21:29:00,           2022-02-03 13:29:00,      3.530000,      2.700000,         10.121000,                    74.587988,      0.952000
                1643924040,           2022-02-03 21:34:00,           2022-02-03 13:34:00,      3.530000,      2.752000,         10.119000,                    74.677821,      0.952000
                1643924340,           2022-02-03 21:39:00,           2022-02-03 13:39:00,      3.530000,      2.815000,         10.094000,                    74.619760,      0.952000
                1643924640,           2022-02-03 21:44:00,           2022-02-03 13:44:00,      3.530000,      2.857000,         10.077000,                    74.578275,      0.952000
                1643924940,           2022-02-03 21:49:00,           2022-02-03 13:49:00,      3.530000,      2.899000,         10.074000,                    74.640263,      0.952000
                1643925240,           2022-02-03 21:54:00,           2022-02-03 13:54:00,      3.530000,      2.940000,         10.063000,                    74.640886,      0.952000
                1643925540,           2022-02-03 21:59:00,           2022-02-03 13:59:00,      3.530000,      3.034000,         10.032000,                    74.598754,      0.952000
                1643925840,           2022-02-03 22:04:00,           2022-02-03 14:04:00,      3.530000,      3.107000,         10.007000,                    74.558437,      0.952000
                1643926140,           2022-02-03 22:09:00,           2022-02-03 14:09:00,      3.530000,      3.117000,         10.012000,                    74.615650,      0.952000
                1643926440,           2022-02-03 22:14:00,           2022-02-03 14:14:00,      3.530000,      3.180000,          9.987000,                    74.554804,      0.952000
