           Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved.Oxygen,  Dissolved Oxygen Saturation,             Q
                1660438860,           2022-08-14 01:01:00,           2022-08-13 18:01:00,      3.190000,     21.212000,          6.461000,                    72.777393,      0.889000
                1660439160,           2022-08-14 01:06:00,           2022-08-13 18:06:00,      3.190000,     20.693000,          6.482000,                    72.275987,      0.890000
                1660439460,           2022-08-14 01:11:00,           2022-08-13 18:11:00,      3.190000,     20.467000,          6.508000,                    72.243734,      0.890000
                1660439760,           2022-08-14 01:16:00,           2022-08-13 18:16:00,      3.190000,     20.341000,          6.510000,                    72.086393,      0.891000
                1660440060,           2022-08-14 01:21:00,           2022-08-13 18:21:00,      3.190000,     20.249000,          6.516000,                    72.021673,      0.891000
                1660440360,           2022-08-14 01:26:00,           2022-08-13 18:26:00,      3.190000,     20.207000,          6.509000,                    71.884505,      0.891000
                1660440660,           2022-08-14 01:31:00,           2022-08-13 18:31:00,      3.190000,     20.115000,          6.517000,                    71.841746,      0.892000
                1660440960,           2022-08-14 01:36:00,           2022-08-13 18:36:00,      3.180000,     20.056000,          6.515000,                    71.735668,      0.892000
                1660441260,           2022-08-14 01:41:00,           2022-08-13 18:41:00,      3.180000,     20.006000,          6.510000,                    71.609471,      0.891000
                1660441560,           2022-08-14 01:46:00,           2022-08-13 18:46:00,      3.180000,     19.947000,          6.514000,                    71.569489,      0.892000
                1660441860,           2022-08-14 01:51:00,           2022-08-13 18:51:00,      3.180000,     19.872000,          6.517000,                    71.495673,      0.892000
                1660442160,           2022-08-14 01:56:00,           2022-08-13 18:56:00,      3.180000,     19.821000,          6.520000,                    71.455961,      0.892000
                1660442460,           2022-08-14 02:01:00,           2022-08-13 19:01:00,      3.180000,     19.754000,          6.519000,                    71.349630,      0.891000
                1660442760,           2022-08-14 02:06:00,           2022-08-13 19:06:00,      3.180000,     19.704000,          6.520000,                    71.289408,      0.892000
                1660443060,           2022-08-14 02:11:00,           2022-08-13 19:11:00,      3.180000,     19.645000,          6.529000,                    71.303739,      0.892000
                1660443360,           2022-08-14 02:16:00,           2022-08-13 19:16:00,      3.180000,     19.578000,          6.529000,                    71.208288,      0.892000
