            Unix Timestamp,               UTC_Date_&_Time,         Pacific.Standard.Time,       Battery,   Temperature,  Dissolved.Oxygen,  Dissolved Oxygen Saturation,             Q
                1628701440,           2021-08-11 17:04:00,           2021-08-11 10:04:00,      3.420000,     17.785000,          7.273000,                    76.487745,      0.956000
                1628701740,           2021-08-11 17:09:00,           2021-08-11 10:09:00,      3.430000,     16.125000,          7.579000,                    76.989919,      0.958000
                1628702040,           2021-08-11 17:14:00,           2021-08-11 10:14:00,      3.430000,     15.758000,          7.657000,                    77.178221,      0.958000
                1628702340,           2021-08-11 17:19:00,           2021-08-11 10:19:00,      3.430000,     15.681000,          7.694000,                    77.423935,      0.958000
                1628702640,           2021-08-11 17:24:00,           2021-08-11 10:24:00,      3.430000,     15.707000,          7.722000,                    77.748807,      0.958000
                1628702940,           2021-08-11 17:29:00,           2021-08-11 10:29:00,      3.440000,     15.766000,          7.726000,                    77.886978,      0.958000
                1628703240,           2021-08-11 17:34:00,           2021-08-11 10:34:00,      3.440000,     15.886000,          7.736000,                    78.187237,      0.958000
                1628703540,           2021-08-11 17:39:00,           2021-08-11 10:39:00,      3.440000,     16.005000,          7.741000,                    78.435786,      0.958000
                1628703840,           2021-08-11 17:44:00,           2021-08-11 10:44:00,      3.440000,     16.150000,          7.750000,                    78.768675,      0.958000
                1628704140,           2021-08-11 17:49:00,           2021-08-11 10:49:00,      3.440000,     16.295000,          7.750000,                    79.010519,      0.958000
                1628704440,           2021-08-11 17:54:00,           2021-08-11 10:54:00,      3.440000,     16.457000,          7.734000,                    79.117217,      0.958000
                1628704740,           2021-08-11 17:59:00,           2021-08-11 10:59:00,      3.440000,     16.609000,          7.733000,                    79.360284,      0.958000
                1628705040,           2021-08-11 18:04:00,           2021-08-11 11:04:00,      3.440000,     16.745000,          7.735000,                    79.607638,      0.958000
                1628705340,           2021-08-11 18:09:00,           2021-08-11 11:09:00,      3.440000,     16.898000,          7.721000,                    79.718426,      0.958000
                1628705640,           2021-08-11 18:14:00,           2021-08-11 11:14:00,      3.440000,     17.042000,          7.723000,                    79.979168,      0.958000
                1628705940,           2021-08-11 18:19:00,           2021-08-11 11:19:00,      3.440000,     17.237000,          7.706000,                    80.127754,      0.958000
                1628706240,           2021-08-11 18:24:00,           2021-08-11 11:24:00,      3.440000,     17.397000,          7.702000,                    80.352588,      0.958000
                1628706540,           2021-08-11 18:29:00,           2021-08-11 11:29:00,      3.440000,     17.541000,          7.690000,                    80.466955,      0.958000
                1628706840,           2021-08-11 18:34:00,           2021-08-11 11:34:00,      3.440000,     17.676000,          7.682000,                    80.607725,      0.958000
                1628707140,           2021-08-11 18:39:00,           2021-08-11 11:39:00,      3.440000,     17.819000,          7.676000,                    80.782500,      0.958000
