            Unix Timestamp,               UTC_Date_&_Time,         Pacific.Standard.Time,       Battery,   Temperature,  Dissolved.Oxygen,  Dissolved Oxygen Saturation,             Q
                1632156840,           2021-09-20 16:54:00,           2021-09-20 09:54:00,      3.380000,      9.809000,          8.323000,                    73.403111,      0.953000
                1632157140,           2021-09-20 16:59:00,           2021-09-20 09:59:00,      3.390000,      9.699000,          8.301000,                    73.018663,      0.954000
                1632157440,           2021-09-20 17:04:00,           2021-09-20 10:04:00,      3.390000,      9.680000,          8.295000,                    72.933030,      0.953000
                1632157740,           2021-09-20 17:09:00,           2021-09-20 10:09:00,      3.400000,      9.680000,          8.321000,                    73.161632,      0.954000
                1632158040,           2021-09-20 17:14:00,           2021-09-20 10:14:00,      3.400000,      9.689000,          8.327000,                    73.230010,      0.954000
                1632158340,           2021-09-20 17:19:00,           2021-09-20 10:19:00,      3.400000,      9.735000,          8.339000,                    73.415518,      0.954000
                1632158640,           2021-09-20 17:24:00,           2021-09-20 10:24:00,      3.400000,      9.781000,          8.357000,                    73.654158,      0.954000
                1632158940,           2021-09-20 17:29:00,           2021-09-20 10:29:00,      3.400000,      9.882000,          8.372000,                    73.962776,      0.954000
                1632159240,           2021-09-20 17:34:00,           2021-09-20 10:34:00,      3.400000,      9.973000,          8.392000,                    74.298881,      0.954000
                1632159540,           2021-09-20 17:39:00,           2021-09-20 10:39:00,      3.410000,     10.083000,          8.401000,                    74.571577,      0.954000
                1632159840,           2021-09-20 17:44:00,           2021-09-20 10:44:00,      3.410000,     10.211000,          8.397000,                    74.760711,      0.954000
                1632160140,           2021-09-20 17:49:00,           2021-09-20 10:49:00,      3.410000,     10.320000,          8.407000,                    75.041391,      0.953000
                1632160440,           2021-09-20 17:54:00,           2021-09-20 10:54:00,      3.410000,     10.420000,          8.416000,                    75.297839,      0.954000
                1632160740,           2021-09-20 17:59:00,           2021-09-20 10:59:00,      3.410000,     10.474000,          8.413000,                    75.366105,      0.954000
                1632161040,           2021-09-20 18:04:00,           2021-09-20 11:04:00,      3.410000,     10.574000,          8.412000,                    75.533324,      0.953000
