            Unix Timestamp,               UTC_Date_&_Time,         Pacific.Standard.Time,       Battery,   Temperature,  Dissolved.Oxygen,  Dissolved Oxygen Saturation,             Q
                1654804860,           2022-06-09 20:01:00,           2022-06-09 13:01:00,      2.190000,     12.215000,          8.308000,                    77.467987,      0.906000
                1654805160,           2022-06-09 20:06:00,           2022-06-09 13:06:00,      2.170000,     12.313000,          8.283000,                    77.406428,      0.905000
                1654805460,           2022-06-09 20:11:00,           2022-06-09 13:11:00,      2.170000,     12.402000,          8.280000,                    77.534207,      0.906000
                1654805760,           2022-06-09 20:16:00,           2022-06-09 13:16:00,      2.190000,     12.508000,          8.250000,                    77.438280,      0.906000
                1654806060,           2022-06-09 20:21:00,           2022-06-09 13:21:00,      2.200000,     12.596000,          8.234000,                    77.441452,      0.906000
                1654806360,           2022-06-09 20:26:00,           2022-06-09 13:26:00,      2.210000,     12.684000,          8.223000,                    77.491212,      0.905000
                1654806660,           2022-06-09 20:31:00,           2022-06-09 13:31:00,      2.230000,     12.790000,          8.197000,                    77.430256,      0.906000
                1654806960,           2022-06-09 20:36:00,           2022-06-09 13:36:00,      2.240000,     12.869000,          8.182000,                    77.425551,      0.906000
                1654807260,           2022-06-09 20:41:00,           2022-06-09 13:41:00,      2.260000,     12.957000,          8.169000,                    77.454946,      0.906000
                1654807560,           2022-06-09 20:46:00,           2022-06-09 13:46:00,      2.270000,     13.054000,          8.147000,                    77.413975,      0.905000
                1654807860,           2022-06-09 20:51:00,           2022-06-09 13:51:00,      2.280000,     13.133000,          8.122000,                    77.312577,      0.905000
                1654808160,           2022-06-09 20:56:00,           2022-06-09 13:56:00,      2.290000,     13.247000,          8.103000,                    77.327828,      0.905000
                1654808460,           2022-06-09 21:01:00,           2022-06-09 14:01:00,      2.310000,     13.291000,          8.088000,                    77.260261,      0.905000
                1654808760,           2022-06-09 21:06:00,           2022-06-09 14:06:00,      2.320000,     13.361000,          8.074000,                    77.246592,      0.905000
                1654809060,           2022-06-09 21:11:00,           2022-06-09 14:11:00,      2.330000,     13.448000,          8.065000,                    77.309600,      0.905000
                1654809360,           2022-06-09 21:16:00,           2022-06-09 14:16:00,      2.340000,     13.509000,          8.040000,                    77.174217,      0.905000
                1654809660,           2022-06-09 21:21:00,           2022-06-09 14:21:00,      2.350000,     13.570000,          8.036000,                    77.240063,      0.905000
                1654809960,           2022-06-09 21:26:00,           2022-06-09 14:26:00,      2.360000,     13.640000,          8.027000,                    77.273081,      0.905000
                1654810260,           2022-06-09 21:31:00,           2022-06-09 14:31:00,      2.370000,     13.719000,          8.002000,                    77.166933,      0.905000
                1654810560,           2022-06-09 21:36:00,           2022-06-09 14:36:00,      2.370000,     13.780000,          7.993000,                    77.183927,      0.905000
                1654810860,           2022-06-09 21:41:00,           2022-06-09 14:41:00,      2.380000,     13.867000,          7.977000,                    77.177200,      0.905000
                1654811160,           2022-06-09 21:46:00,           2022-06-09 14:46:00,      2.390000,     13.919000,          7.959000,                    77.091206,      0.904000
                1654811460,           2022-06-09 21:51:00,           2022-06-09 14:51:00,      2.390000,     14.006000,          7.950000,                    77.151403,      0.905000
                1654811760,           2022-06-09 21:56:00,           2022-06-09 14:56:00,      2.400000,     14.058000,          7.933000,                    77.074348,      0.905000
                1654812060,           2022-06-09 22:01:00,           2022-06-09 15:01:00,      2.410000,     14.102000,          7.926000,                    77.080686,      0.905000
                1654812360,           2022-06-09 22:06:00,           2022-06-09 15:06:00,      2.410000,     14.154000,          7.919000,                    77.100418,      0.905000
                1654812660,           2022-06-09 22:11:00,           2022-06-09 15:11:00,      2.420000,     14.206000,          7.899000,                    76.993302,      0.904000
                1654812960,           2022-06-09 22:16:00,           2022-06-09 15:16:00,      2.420000,     14.266000,          7.888000,                    76.987052,      0.905000
                1654813260,           2022-06-09 22:21:00,           2022-06-09 15:21:00,      2.430000,     14.284000,          7.884000,                    76.978293,      0.905000
                1654813560,           2022-06-09 22:26:00,           2022-06-09 15:26:00,      2.430000,     14.336000,          7.856000,                    76.792086,      0.904000
