Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,volt_set_1,snow_depth_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
TADC1,2021-03-01T12:33:00Z,0,31,6.7,218,10.28,12.9,1036.32,0,72.644,10.28,-2.22,26.7,227,-15.25,,SW,
TADC1,2021-03-01T13:33:00Z,-1.11,31,1.79,246,11.62,12.9,1036.32,0,72.644,11.62,-2.22,26.7,256,-16.23,,WSW,
TADC1,2021-03-01T14:33:00Z,-1.67,33,3.13,241,5.81,12.9,1036.32,1,72.644,5.81,-2.22,26.8,232,-15.97,,WSW,
TADC1,2021-03-01T15:33:00Z,0.56,30,7.15,211,10.73,13.1,1033.78,74,72.644,10.73,-2.22,26.8,209,-15.16,,SSW,
TADC1,2021-03-01T16:33:00Z,2.22,28,4.92,219,11.62,13.7,1033.78,278,72.644,11.62,-1.67,26.8,198,-14.55,,SW,
TADC1,2021-03-01T17:33:00Z,2.78,31,6.26,191,11.62,14.2,1031.24,477,72.644,11.62,-1.67,26.9,211,-12.81,,S,
TADC1,2021-03-01T18:33:00Z,3.89,29,7.6,203,12.96,14,1031.24,638,72.644,12.96,-1.67,26.9,205,-12.67,,SSW,
TADC1,2021-03-01T19:33:00Z,5,31,6.26,188,12.96,14,1031.24,745,72.644,12.96,-1.67,27,199,-10.87,,S,
TADC1,2021-03-01T20:33:00Z,5.56,33,5.81,198,12.52,13.9,1031.24,775,72.644,12.52,-1.67,27,162,-9.58,,SSW,
TADC1,2021-03-01T21:33:00Z,5.56,35,6.7,206,10.28,14,1031.24,745,72.644,10.28,-1.67,27,207,-8.83,,SSW,
TADC1,2021-03-01T22:33:00Z,5,34,5.81,194,9.84,14.3,1031.24,656,72.644,9.84,-1.67,27.1,190,-9.7,,SSW,
TADC1,2021-03-01T23:33:00Z,5,31,4.92,211,8.94,14.1,1031.24,516,72.644,8.94,-1.67,27.1,195,-10.87,,SSW,
TADC1,2021-03-02T00:33:00Z,4.44,32,4.02,202,8.49,14,1031.24,335,72.644,8.49,-1.11,27.1,204,-10.96,,SSW,
TADC1,2021-03-02T01:33:00Z,2.78,37,3.13,221,6.26,14.3,1031.24,135,72.644,6.26,-1.11,27.1,203,-10.6,,SW,
